equipo,velocidad media (kmh),posesión del balón promedio,acierto en los cambios de orientación (%),precisión en los pases (%),precisión en los centros (%),acierto en las rupturas de líneas (%),minutos,partidos,fase,pérdidas de balón provocadas p90,presiones defensivas p90,presiones defensivas directas p90,goles recibidos x p90,gol en propia puerta p90,faltas recibidas p90,faltas cometidas p90,tarjetas amarillas p90,fueras de juego p90,tarjetas rojas p90,dobles amonestaciones p90,acciones del portero dentro del área p90,acciones del portero fuera del área p90,paradas de la portera p90,porterías a cero p90,desmarques para recibir p90,desmarques a la espalda de la defensa p90,desmarques entre líneas p90,desmarques por delante de la defensa p90,desmarques en el interior de las líneas rivales p90,desmarques en el exterior de las líneas rivales p90,recepciones a la espalda de la defensa p90,recepciones entre la línea de medias y la defensiva p90,recepciones bajo presión p90,esprint a gran velocidad p90,esprints p90,distancia recorrida p90,remate p90,goles esperados p90,goles p90,asistencias p90,remate entre los tres palos p90,tiros fuera p90,tiros dentro del área p90,tiros fuera del área p90,remates de cabeza p90,saque de esquina p90,pase p90,pases completados p90,centros p90,intentos de ruptura de líneas p90,regates completados p90,cambios de orientación intentados p90,tiempo recuperacion balon promedio
Catar,5.64,31,91,78,36,27,270,3,Primera fase,33.666666666666664,277.3333333333333,40.66666666666666,3.333333333333333,0.6666666666666667,12.0,9.333333333333334,1.3333333333333337,1.3333333333333337,0.6666666666666667,0.0,41.333333333333336,34.333333333333336,5.333333333333334,0.0,214.3333333333333,56.33333333333333,95.0,62.99999999999999,115.66666666666669,98.66666666666669,7.333333333333334,48.66666666666666,120.33333333333331,1194.6666666666667,360.0,103345.58333333331,5.666666666666666,0.6266666666666666,0.6666666666666667,0.3333333333333333,2.0,3.333333333333333,3.333333333333333,2.333333333333333,0.6666666666666667,3.0,304.0,236.0,9.333333333333334,23.666666666666664,4.0,3.666666666666667,20.16
Egipto,6.04,46,90,87,20,53,480,5,Segunda fase,42.0,255.0,44.625,1.3125,0.375,11.0625,12.5625,2.25,0.75,0.0,0.0,22.3125,19.6875,2.625,0.0,368.0625,81.9375,139.6875,146.4375,174.1875,193.875,9.5625,84.5625,162.9375,1295.0625,456.9375,113476.359375,12.5625,1.078125,1.5,1.5,3.5625,5.625,7.874999999999999,4.6875,1.875,4.875,497.625,432.0,15.5625,21.0,7.5,7.6875,16.562
Uzbekistán,5.9,35,76,78,18,27,270,3,Primera fase,45.0,314.6666666666667,47.33333333333333,3.666666666666667,0.3333333333333333,15.0,9.666666666666666,1.3333333333333337,1.0,0.0,0.0,27.33333333333333,21.666666666666664,2.0,0.0,267.0,65.66666666666667,127.33333333333331,74.0,152.0,115.0,5.333333333333334,82.0,152.66666666666666,1264.3333333333333,451.33333333333337,112480.00333333333,6.0,0.57,0.6666666666666667,0.3333333333333333,1.6666666666666663,2.666666666666667,3.333333333333333,2.666666666666667,0.6666666666666667,3.0,353.0,276.0,11.333333333333332,17.0,8.666666666666666,5.666666666666666,16.666666666666668
Irak,6.09,37,79,81,29,44,270,3,Primera fase,40.66666666666666,283.6666666666667,51.66666666666666,4.0,0.3333333333333333,9.0,10.333333333333334,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.0,31.33333333333333,27.0,3.333333333333333,0.0,318.33333333333337,100.0,130.33333333333334,88.0,182.66666666666663,135.66666666666666,7.333333333333334,57.333333333333336,143.33333333333334,1248.6666666666663,403.0,109502.82,7.0,0.7033333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,4.333333333333333,4.0,3.0,2.0,2.333333333333333,376.3333333333333,305.6666666666667,8.0,16.0,7.333333333333334,4.666666666666667,20.42
Suiza,5.97,49,82,87,16,47,600,6,Segunda fase,42.75,237.15,42.15,0.9,0.15,13.05,13.35,1.2000000000000002,1.95,0.15,0.15,15.0,13.2,3.0,0.3,316.65000000000003,88.5,124.35,103.8,184.95,131.70000000000002,11.4,94.05,168.0,1249.95,411.15,109239.9345,11.1,1.4385,1.5,0.9,4.5,4.2,7.5,3.6,1.05,4.2,484.65,419.7,18.3,22.8,6.0,5.1,14.108333333333334
Jordania,6.13,29,73,76,32,52,270,3,Primera fase,46.333333333333336,382.6666666666666,55.333333333333336,2.666666666666667,0.3333333333333333,10.333333333333334,7.666666666666666,1.3333333333333337,1.0,0.0,0.0,23.33333333333333,18.666666666666668,2.666666666666667,0.0,247.0,70.0,107.66666666666666,69.33333333333333,117.0,130.0,9.0,62.0,155.0,1432.0,454.33333333333337,115775.06333333334,8.0,0.6233333333333334,1.0,1.0,3.0,3.0,4.333333333333333,3.666666666666667,1.0,2.0,304.6666666666667,231.33333333333331,10.333333333333334,17.333333333333332,11.0,3.666666666666667,22.736666666666665
Islas de Cabo Verde,5.87,35,64,82,27,34,390,4,Segunda fase,44.07692307692307,288.92307692307696,38.30769230769231,1.1538461538461535,0.2307692307692307,6.230769230769231,10.846153846153848,1.1538461538461535,1.6153846153846152,0.0,0.0,31.384615384615383,23.53846153846154,4.153846153846154,0.4615384615384615,286.8461538461538,74.53846153846155,129.0,83.3076923076923,144.0,142.84615384615384,4.384615384615385,67.15384615384616,153.0,1102.6153846153848,387.9230769230769,109945.69153846154,11.307692307692308,0.5907692307692308,0.9230769230769232,0.4615384615384615,2.769230769230769,4.846153846153847,4.615384615384615,6.6923076923076925,1.3846153846153846,3.923076923076923,358.84615384615387,293.53846153846155,11.76923076923077,13.384615384615383,9.23076923076923,5.076923076923077,19.1075
Arabia Saudí,6.02,33,67,78,23,40,270,3,Primera fase,42.66666666666667,345.0,46.66666666666666,1.6666666666666663,0.3333333333333333,9.666666666666666,8.666666666666666,2.0,1.0,0.0,0.0,28.666666666666668,26.0,5.666666666666666,0.3333333333333333,235.66666666666669,69.0,92.0,74.66666666666667,128.66666666666666,107.0,8.0,81.33333333333333,174.33333333333334,1370.0,483.3333333333333,112828.1,5.666666666666666,0.5066666666666666,0.3333333333333333,0.0,2.666666666666667,1.6666666666666663,2.666666666666667,3.0,1.0,2.333333333333333,391.6666666666667,307.33333333333337,7.333333333333334,17.666666666666668,6.333333333333334,4.0,17.726666666666667
Paraguay,5.9,27,83,69,17,25,480,5,Segunda fase,46.68750000000001,316.6875,62.0625,1.125,0.1875,12.375000000000002,11.4375,1.6875,0.9375,0.1875,0.0,26.4375,23.250000000000004,5.25,0.375,137.625,35.0625,55.5,47.0625,69.5625,68.0625,3.75,48.375,121.125,1160.8125,401.4375,111105.076875,6.5625,0.373125,0.5625,0.5625,1.5,3.375,3.1875,3.375,0.75,1.875,255.0,177.1875,8.8125,13.3125,5.625,3.375,17.758000000000003
Marruecos,5.87,53,85,88,24,52,570,6,Segunda fase,41.368421052631575,226.73684210526315,47.526315789473685,0.9473684210526316,0.1578947368421052,11.684210526315788,13.894736842105264,1.105263157894737,1.4210526315789471,0.0,0.0,17.68421052631579,14.36842105263158,3.0,0.3157894736842105,378.4736842105263,107.21052631578948,136.57894736842107,134.68421052631578,214.42105263157893,164.05263157894737,9.63157894736842,93.0,202.10526315789477,1175.5263157894738,451.7368421052631,110203.91052631578,10.894736842105264,1.0373684210526315,1.5789473684210529,1.4210526315789471,4.105263157894737,3.631578947368421,6.157894736842105,4.7368421052631575,1.5789473684210529,4.7368421052631575,578.6842105263157,511.578947368421,15.631578947368425,17.36842105263158,10.421052631578949,4.105263157894737,13.745
Túnez,6.09,36,71,80,23,38,270,3,Primera fase,36.333333333333336,267.3333333333333,43.66666666666666,4.0,0.3333333333333333,9.0,11.333333333333332,0.3333333333333333,3.0,0.0,0.0,25.666666666666668,21.333333333333336,2.333333333333333,0.0,333.3333333333333,95.66666666666666,149.33333333333334,88.33333333333334,182.33333333333331,151.0,6.0,65.33333333333334,135.0,1167.6666666666667,404.33333333333337,111086.92333333332,6.0,0.3733333333333333,0.6666666666666667,0.6666666666666667,2.0,2.666666666666667,2.0,4.0,1.3333333333333337,3.0,337.0,270.6666666666667,11.666666666666666,13.333333333333332,3.666666666666667,7.0,23.043333333333333
Australia,6.13,35,62,81,27,47,390,4,Segunda fase,40.15384615384615,283.6153846153846,37.38461538461539,0.6923076923076923,0.2307692307692307,10.615384615384617,8.76923076923077,1.1538461538461535,0.2307692307692307,0.0,0.0,21.0,17.53846153846154,3.2307692307692304,0.4615384615384615,239.76923076923077,56.53846153846154,107.3076923076923,75.92307692307692,126.0,113.76923076923076,9.0,83.07692307692308,193.6153846153846,1321.8461538461538,438.4615384615384,114004.38923076924,9.692307692307692,0.63,0.6923076923076923,0.2307692307692307,3.0,4.384615384615385,6.0,3.692307692307693,1.3846153846153846,3.692307692307693,380.0769230769231,308.30769230769226,16.153846153846153,17.53846153846154,9.0,4.846153846153847,18.5225
Canadá,6.1,46,83,82,24,55,450,5,Segunda fase,45.6,236.6,45.6,1.2000000000000002,0.0,14.4,14.2,2.2,1.4,0.0,0.0,9.8,8.0,1.4,0.4,317.8,106.6,115.2,96.0,158.0,159.8,14.4,108.0,185.8,1388.6,512.0,114092.056,16.2,1.804,1.8,0.6000000000000001,6.4,5.8,11.4,4.800000000000001,3.2,10.0,419.6,344.4,31.6,23.8,6.4,3.6,13.286
Portugal,5.83,53,81,90,27,54,450,5,Segunda fase,37.6,256.4,32.2,0.6000000000000001,0.0,8.8,11.6,1.4,2.0,0.0,0.0,22.8,18.6,4.0,0.4,376.2,110.6,151.8,113.8,204.2,172.0,12.6,115.8,197.6,1167.2,426.8,110695.272,12.4,1.278,1.6,0.8,3.4,6.2,8.0,4.4,1.6,4.4,589.2,530.8,18.8,24.6,11.6,8.4,16.25
RI de Irán,6.08,37,79,77,23,46,270,3,Primera fase,44.0,291.3333333333333,49.333333333333336,1.0,0.0,11.666666666666666,7.666666666666666,2.0,3.0,0.0,0.0,25.0,21.666666666666664,5.0,0.3333333333333333,253.66666666666663,75.66666666666667,88.0,90.0,118.66666666666666,135.0,9.333333333333334,76.33333333333333,148.66666666666669,1353.6666666666667,449.0,114788.70666666668,12.333333333333334,1.5233333333333334,1.0,0.3333333333333333,3.333333333333333,5.0,8.666666666666666,3.666666666666667,2.333333333333333,2.666666666666667,350.3333333333333,271.3333333333333,13.333333333333332,16.666666666666664,6.333333333333334,4.666666666666667,15.95
Inglaterra,5.88,50,81,89,27,66,750,8,Semifinalista,32.88,231.72000000000003,40.56,1.44,0.0,9.72,13.92,0.96,1.8,0.12,0.0,19.08,15.84,3.0,0.24,386.28,95.52,131.88,158.88,220.44,165.84,15.12,85.92,162.84,1163.88,424.44,110264.1252,14.16,1.8036,2.4000000000000004,1.6800000000000002,6.239999999999999,4.800000000000001,10.56,3.6,3.24,4.800000000000001,481.68,429.24,21.0,24.840000000000003,10.2,5.76,15.99375
Croacia,5.98,46,82,87,21,51,360,4,Segunda fase,37.25,252.75,43.5,1.75,0.0,11.25,11.5,1.0,2.0,0.0,0.0,20.0,17.0,3.0,0.25,309.5,100.5,110.5,98.5,170.5,139.0,8.25,80.75,161.25,1255.5,456.75,113080.455,9.25,0.8525,1.5,1.25,4.25,3.5,5.25,4.0,2.0,3.0,475.25000000000006,415.25,16.5,19.25,8.5,5.5,17.55
EE. UU.,6.23,52,81,86,26,60,450,5,Segunda fase,44.0,215.2,43.2,1.6,0.0,11.2,12.8,1.4,2.2,0.2,0.0,15.8,12.999999999999998,2.0,0.4,382.6,110.0,147.6,125.0,208.0,174.6,15.6,105.0,198.6,1450.4,489.2,118979.022,11.8,1.274,2.2,0.8,3.8,4.800000000000001,9.4,2.4000000000000004,2.4000000000000004,5.2,521.2,450.8,18.0,28.0,12.999999999999998,5.4,13.166
Argentina,5.61,53,95,90,32,57,810,8,Semifinalista,39.0,228.22222222222223,38.77777777777778,0.8888888888888888,0.0,12.555555555555555,11.11111111111111,1.6666666666666663,2.4444444444444446,0.1111111111111111,0.1111111111111111,12.333333333333334,10.77777777777778,2.2222222222222223,0.2222222222222222,364.7777777777777,92.11111111111111,129.55555555555557,143.11111111111111,195.77777777777777,169.0,8.777777777777777,97.0,179.33333333333334,1070.111111111111,374.44444444444446,106124.89888888889,12.777777777777777,1.7166666666666666,2.111111111111111,1.3333333333333337,5.111111111111112,5.444444444444445,7.333333333333334,5.444444444444445,2.4444444444444446,4.555555555555555,583.1111111111111,522.1111111111111,12.333333333333334,15.333333333333332,6.444444444444445,4.333333333333333,16.09375
Japón,6.02,42,67,86,26,47,360,4,Segunda fase,34.75,279.5,47.75,1.25,0.0,13.750000000000002,7.75,1.0,1.0,0.0,0.0,19.5,16.0,4.25,0.25,369.75,98.0,144.0,127.75,218.0,151.75,8.25,81.0,143.5,1169.5,417.25,111686.1425,8.0,0.7925000000000001,2.0,1.75,2.75,3.75,4.0,4.0,1.25,3.25,433.25,374.25,15.5,18.5,6.0,3.0,20.1475
